"","Title","Maker","Identification_Numbers","Categories","Entities","Acquisition_and_Important_Dates","Description","Dating","School_or_Style","Materials_Used_in_Production","Website"
"99",NA,"Potter: Unknown","Accession number: OC.161-1946|Primary reference Number: 77595|Stable URI","Glazed earthenware","Ewer|Islamic pottery|Garrus ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in slip carved under a green glaze Brown earthenware, probably mould made, coated in a white slip carved under a green glaze.
Shape: trefoil spout on a straight neck descending via a carination onto a cylindrical body narrowing slightly onto a flat base.
Exterior: on the spout and lower body concentric friezes of scrolling palmettes are carved above or below cable patterns. On the upper body and handle scrolling vegetation incorporating split palmettes, while on the shoulder a Kufic inscription is present. Glaze runs unevenly onto the lower body and base.
Interior: glaze continues to a mid-point on the neck.","12th-13th Century|Circa 1100 - Circa 1299","Seljuk","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77595"
"100",NA,"Potter: Unknown","Accession number: OC.160-1946|Primary reference Number: 77594|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Colour-splashed ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a white slip, incised and splashed in three colours under a clear glaze Brown earthenware, wheel thrown, coated in a white slip, incised and splashed with green, yellow and brown, covered with a clear glaze.
Shape: carinated, conical bowl with in-turned neck on a disc base
Interior: on the upper body, tear-drop shaped petals are incised through a white slip, while radiating from the base splashed brown, yellow or green pigment cover the entire surface. A clear, crazed glaze covers the surface except for spur marks, which may indicate the use of a tripod stacking device during firing.
Exterior: white slip covers the upper body unevenly.","10th Century|Circa 900 CE - 999 CE","Samanid","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77594"
"101",NA,"Potter: Unknown (Probably)","Accession number: OC.159-1946|Primary reference Number: 77592|Stable URI","Fritware (stonepaste)","Bowl|Islamic pottery|Underglaze painted ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Fritware painted in black under a turquoise glaze Fritware, probably wheel thrown, painted in black under a turquoise glaze.
Shape: a bi-conical bowl with an everted, ‘hammer head’ rim descends via a carination onto a low, wide foot ring
Interior: on the rim an inscription, while on the neck a guilloche pattern are painted. On the body a repeating arabesque pattern radiates from a central point on the base.
Exterior: on the neck an inscription is painted above a wavey line on the body. Glaze runs over the foot ring forming droplets.","13th Century|Circa 1200 CE - Circa 1299 CE",NA,"black Pigment|turquoise, runs over the foot ring forming droplets and covers the base unevenly Glaze|Fritware","https://data.fitzmuseum.cam.ac.uk/id/object/77592"
"102",NA,"Potter: Unknown","Accession number: OC.155-1946|Primary reference Number: 77589|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Garrus ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a white slip carved and incised under a green glaze Brown earthenware, wheel thrown, coated in a white slip, carved and incised under a green glaze
Shape: bi-conical bowl with an indented ‘pie crust’ rim and sitting on a thick disc base.
Interior: on the neck a frieze of incised spirals separated by vertical lines. On the body carved into the slip a sphinx, with rosettes on the rear legs and bejewelled bands is surrounded by scrolling vegetation of split and complete palmettes. Scar marks on the base indicate the use of a tripod stacking device in the kiln.
Exterior: below the rim a kufic inscription is carved into the surface. Glaze and slip terminate just below the vessel carination.","12th-13th Century|19th/early 20th century|Circa 1100 CE - Circa 1299 CE Circa 1850 CE - Circa 1925 CE","Seljuk|Qajar","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77589"
"103",NA,"Potter: Unknown","Accession number: OC.154-1946|Primary reference Number: 77588|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Garrus ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Eartheware with carved white slip under a clear or green glaze Red-brown earthenware, wheel thrown, coated in a white slip carved under a clear or green glaze.
Shape: irregular bi-conical bowl on a disc base with a square, pie crust rim.
Interior: coated in a white slip which, on the body, is carved to form a spread eagle wearing a collar against a background of scrolling palmettes and half-plamettes. The eagle’s wings and two palmettes are incised with medallions. Splashes of dark purple are evident in the glaze which pools slightly in the base. Three scar marks in the base indicate the use of a tripod stacking device in the kiln, a scar mark on the rim indicates contact with another vessel during firing.
Exterior: the neck is incised with a frieze of curved incised lines. A white slip and a green coloured glaze run over the neck and upper body.","12th-13th Century|Circa 1100 - Circa 1299","Seljuk","red-brown Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77588"
"104",NA,"Potter: Unknown","Accession number: OC.153-1946|Primary reference Number: 77587|Oscar Raphael: 24|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Aghkand ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in cream slip incised and painted in three colours under a clear glaze Red brown earthenware, wheel thrown, coated in a cream slip incised and coloured with green, brown and black, covered in a clear glaze.
Shape: hemispherical bowl with everted, T-shaped rim on a disc base that is cut away on the underside.
Interior: incised through a cream slip, a triangle and dot pattern on the rim; on the neck scalloped lines within crescent cartouche, all in alternating colours. On the base a brown hare with carved vegetal decoration on the body is surrounded by green and brown scrolling vegetation.
Exterior: remnants of cream slip below the rim and glaze running over the upper body, all probably residual from interior decoration.","12th Century|Circa 1100 - Circa 1199","Seljuk","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77587"
"105",NA,"Potter: Unknown","Accession number: OC.152-1946|Primary reference Number: 77586|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Buffware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware painted in three colours under a transparent glaze Buff earthenware, wheel thrown, painted in green, brown and yellow slip under a glaze with light green tinge.
Shape: hemispherical bowl with a triangular rim on a disc base.
Interior: surface is divided into four quadrants by a central green cross. In the quadrants four palmettes, coloured with yellow and green, are painted on a brown cross hatched background. In places the paint has run under the glaze. Three scar marks on the base indicate the use of a tripod stacking device in the kiln.
Exterior: undecorated except for the glaze that extends to the underside of the base.","10th Century|Circa 900 - Circa 999","Samanid","transparent, green tinged Glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77586"
"106",NA,"Maker: Unknown","Accession number: OC.15-1946|Primary reference Number: 77585|Oscar Raphael: 76|Stable URI","Earthenware","Bowl","Method of acquisition: Bequeathed (1941) by Raphael, Oscar C.","Marbled brown and pale buff pottery bowl, covered with transparent green glaze. Chinese T’ang Dynasty","T’ang Dynasty (618-906)|Circa 618 - 907",NA,"Pottery|Glaze","https://data.fitzmuseum.cam.ac.uk/id/object/77585"
"107",NA,"Potter: Unknown (Probably)","Accession number: OC.151-1946|Primary reference Number: 77582|Stable URI","Earthenware","Bowl|Islamic pottery|Colour splashed ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware painted in green and brown in an white glaze Buff earthenware, wheel thrown, painted in green and brown in a white glaze.
Shape: irregular conical bowl sitting on a low, wide foot ring.
Interior: on the body, wide green and narrower brown horseshoe shaped curves surround a rough green cross, defined by parallel lines and dotted with brown that radiates from the base.
Exterior: on the rim glaze spills over from the interior, otherwise undecorated.","End of 9th century - 10th Century|Circa 880 CE - Circa 999 CE","Abbasid","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77582"
"108",NA,"Potter: Unknown","Accession number: OC.150-1946|Primary reference Number: 77581|Stable URI","Glazed earthenware","Plate|Islamic pottery|Imitation Garrus ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a white slip, carved under a yellow glaze Red-brown earthenware, wheel thrown, coated in a white slip, carved and covered with a yellow glaze
Shape: slightly up-turned rim, the body is flat and the base slightly convex, sits on a low foot ring.
Interior: a bull with a dog attacking its back against a background of scrolling vegetation. Below the bull a quadruped, possibly another dog, while above a bird perches in mid air. All figures and vegetation appear in yellow against a brown background, spots of brown appear on the body of the bull in particular which indicates that this colour may have been added as a secondary glaze.
Exterior: the body is slipped and glazed unevenly but otherwise undecorated.","Late 19th-early 20th Century|Circa 1875 - Circa 1920","mimesis","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77581"
"109",NA,"Potter: Unknown","Accession number: OC.149-1946|Primary reference Number: 77578|Stable URI","Glazed earthenware","Bowl|Garrus ware|Islamic pottery","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a white slip, carved and covered with a colourless or green glaze Brown earthenware, wheel thrown, coated in a white slip carved under a colourless or green glaze.
Shape: conical bowl with slightly in-turned rim, sits on a disc base.
Interior: coated in a white slip which, on the rim and upper body, is splashed with green from the exterior. Finely carved into the slip on the body, a frieze of birds is surrounded by scrolling plamettes. Concentric bands of small medallions are carved above and below the bird frieze. Glaze pools and is cracked in the base; three scar marks indicate the use of a tripod stacking device in the kiln.
Exterior: coated in a white slip and covered with a green glaze. A large scar on the upper body indicates contact with other vessels in the kiln","Early 13th Century|Production date: circa AD 1200","Seljuk","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77578"
"110",NA,"Potter: Unknown","Accession number: OC.148-1946|Primary reference Number: 77577|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Sgraffito|Iranian incised ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware incised through a cream slip, painted in green under a clear glaze Brown earthenware, wheel thrown, incised through a cream slip, coloured green on the rim and covered with a clear glaze.
Shape: conical bowl with slightly convex body, plain rim and disc base
Interior: the rim is coloured with a green pigment. The body is coated in a white slip incised with interlocking circles containing arabesques on a hatched ground. Enclosed by these circles, on the base, a stylised lion and knotted cross are also incised through cream slip on a hatched ground. The slip covered with a thin, colourless glaze. Three scar marks on the base indicate the use of a tripod stacking device during kiln firing.
Exterior: the green pigment on the rim continues onto the exterior. A cream slip covered in a colourless glaze coats the surface from just below the rim to the lower body.","11th-12th century|Circa 1000 - Circa 1199","Seljuk","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77577"
"111",NA,"Potter: Unknown","Accession number: OC.146-1946|Primary reference Number: 77575|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Lustreware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Fritware covered in a white glaze painted with lustre Buff fritware, probably wheel thrown covered in a white glaze painted with yellow lustre
Shape: conical bowl with a slightly out-turned rim sitting on a low, wide foot ring.
Interior: the rim is painted with crescents echoed below by a scalloped line. On the body a hare, with a leafed branch suspended from its mouth, is outlined with a single line. In the background, four irregular cartouche are also outlined with a single line are painted against ‘V’ shapes.
Exterior: on the body a series of four sets of concentric circles, of which the inner most contains dashed lines, is painted on a background of dotted lines. On the underside of the base an inscription is painted in lustre. Glaze extends over the surface with the exception of the rim of the foot ring.","10th Century|Circa 900 CE - 999 CE","Abbasid","lustre Oxide colours|white, full coverage except for the rim of the foot ring Glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77575"
"112",NA,"Potter: Unknown","Accession number: OC.145-1946|Primary reference Number: 77573|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Lustre ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a white glaze painted in two tone lustre Buff earthenware, wheel thrown, coated in an opaque white glaze painted in yellow and ruby lustre. Shape: hemispherical bowl with everted rim, sits on a low foot ring. Interior: the rim is painted with a dotted concentric band in yellow lustre. On the body, reserved in ruby lustre, a frieze of medallions alternately contains peacock’s eyes or cross-hatching, painted in yellow. The roundel on the base contains yellow asterisk and ruby dots surrounded by a band of yellow leaves. Exterior: two bands of horizontal lines of ruby lustre cover the surface, while on the underside of the foot ring what maybe an Arabic inscription is painted in ruby lustre.","9th Century|Circa 800 CE - Circa 899 CE","Abbasid","opaque white Glaze|ruby red and yellow lustre Oxide colours|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77573"
"113",NA,"Potter: Unknown","Accession number: OC.144-1946|Primary reference Number: 77572|Oscar Raphael: 8|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Lustreware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in white glaze painted in polychrome lustre Pinkish earthenware, probably wheel thrown, coated in a white glaze painted in yellow and brown lustre
Shape: conical bowl with slightly out-turned rim sitting on a low foot ring.
Interior: the rim is painted with brown lustre. On the body, radiating from a central point, three tear-drop shaped cartouche, containing yellow leaves dotted with brown, possibly symbolise elements of a palmette tree. These are separated by roughly circular cartouche containing further yellow or brown leaves. In the background, dots and dashes painted in yellow and brown.
Exterior: two rows of thick yellow dashed lines radiate from the base towards the rim; on the underside of the foot ring a single dashed line is painted. Glaze extends over the vessel with the exception of the rim of the foot ring.","9th Century|Circa 800 CE - Circa 899 CE","Abbasid","lustre Oxide colours|white, full coverage except for the rim of the foot ring Glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77572"
"114",NA,"Potter: Unknown","Accession number: OC.143-1946|Primary reference Number: 77571|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Opaque white glaze","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in white glaze painted in blue Earthenware, wheel thrown, coated in a thick white glaze painted in blue
Shape: hemispherical bowl with an everted rim sits on a very low foot ring
Interior: on the base a triangle with hatched corners frames a central rosette. Radiating from the triangle, alternating circles and stylised irises are painted on the body.
Exterior: undecorated except for the glaze","9th Century|Circa 800 CE - Circa 899 CE","Abbasid","opaque white Glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77571"
"115",NA,"Pottery: Unknown","Accession number: OC.142-1946|Primary reference Number: 77570|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Amol ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a white slip, incised and painted in green under a colourless glaze Pinkish earthenware, wheel thrown, coated in a white slip incised and painted in green under a colourless glaze
Shape: conical bowl with plane rim, sits on a concave disc base
Interior: the body is coated in a white slip coloured green on the rim. On the upper body, a frieze of opposing triangles surrounded by spirals is incised and coloured with green. On the body, decorated with incised lines and green dots, a bird sits amongst stylised scalloped leaves. Covered with a colourless glaze.
Exterior: the upper body is covered with a white slip coloured green under a colourless glaze.","12th Century|Circa 1100 - Circa 1199","Seljuk","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77570"
"116",NA,"Potter: Unknown","Accession number: OC.141-1946|Primary reference Number: 77566|Stable URI","Glazed earthenware","Jar|Islamic pottery|Slip-painted ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Earthenware coated in a brown slip painted in white under or over a clear glaze Brown earthenware coated in a brown slip painted in white under, or over a clear glaze.
Shape: flat base with an inverted pear shaped body, collared neck and a triangular rim. Rim and neck are irregular probably as a result of sagging in the kiln.
Exterior: rim and neck are painted with rows of dots between concentric lines. On the shoulder a Kufic inscription is surrounded by dots. On the body, between two bands of geometric decoration, a frieze of birds and cyprees trees are painted between a background of contour panels containing peacocks eyes and dots.
Interior: surface is glazed but undecorated.","10th Century|Circa 900 CE - 999 CE","Samanid","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77566"
"117",NA,"Potter: Unknown","Accession number: OC.140-1946|Primary reference Number: 77565|Stable URI","Glazed earthenware","Bowl|Islamic pottery|Slip-painted ware","Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Buff earthenware coated in a brown slip painted in white under, or over, a clear glaze|Shape: conical bowl with everted rim and a disc base|Interior: on the rim a dotted lunette pattern, while on the body cypress trees and birds with long necks are separated by contour panels containing peacocks’ eyes and dots. On the base another bird and further contour panels.|Exterior: groups of horizontal dashes are painted on the upper body. Glaze covers the surface but is uneven on the base.","10th Century|Circa 900 CE - Circa 999 CE","Samanid","brown Slip|clear, crazed Glaze|white, used to paint decoration Slip|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77565"
"118",NA,"Factory: Greek A Factory|Proprietor: Kocks, Adriaen","Accession number: C.2603 & A-C-1928|Primary reference Number: 73775|Old object number: 2577|Stable URI","Tin-glazed earthenware|Delftware","Flower vase|flower stand","Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue, comprising a vase with two twisted snake handles, two covers with spouts, and a stand with applied gadrooning, decorated in baroque style with architectural elements, vases, masks, female figures, putti, and formal foliage and flowers.","Late 17th Century|Production date: circa AD 1690 : Adriaen Kocks (d. 1701) was proprietor of the Greek A factory from 1686 until his death.","Baroque","pale buff Earthenware|Tin-glaze","https://data.fitzmuseum.cam.ac.uk/id/object/73775"
"119",NA,"Maker: Unknown","Accession number: OC.11B-1940|Primary reference Number: 77541|Stable URI","Pottery","Sherd",NA,"Pot sherd, Yueh ware. Half of the lower part of a large bowl without a foot rim, but a hollow indentation and ring mark inside. Depicting a phoenix incised below a brownish green celadon glaze",NA,NA,"Celadon glaze|Pottery","https://data.fitzmuseum.cam.ac.uk/id/object/77541"
"120",NA,"Maker: Unknown","Accession number: OC.11A-1940|Primary reference Number: 77540|Stable URI",NA,"Fragment|sherd",NA,"Pot sherd, Yueh ware. Possibly the foot rim of a bowl, with finely incised phoenix birds inside, under a grey green celadon glaze. There is a ring mark inside the foot-ring",NA,NA,"Celadon glaze|Pottery","https://data.fitzmuseum.cam.ac.uk/id/object/77540"
"121",NA,"Pottery: Unknown","Accession number: OC.1-1940|Primary reference Number: 77536|Stable URI","Stoneware","Tea bowl|Japanese pottery|Black Raku","Method of acquisition: Given (1940-02-22) by Hornblower, G. D., OBE","Footed tea bowl, thrown and turn. Black Raku glaze with cream-coloured crane in flight, a tortoise, and three trees (pine, plum and bamboo in resist). Three wad marks on foot rim. Tong marks inside and out imprinted in the glaze.","19th century|Edo period (1615-1868) / Meiji period (1868-1912)|Circa 1800 - Circa 1899",NA,"black Raku Glaze|Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77536"
"122","Set of Five Vases","Woolley, Richard","Accession number: C.1266.1-5-1928|Primary reference Number: 131030|Old object number: 4237|Stable URI","Stoneware","Set of vases","Method of acquisition: Bequeathed (1928) by Glaisher, J.W.L.","Fine white stoneware with applied white reliefs, and blue ground, the covers of the two pairs of vases pierced","Early 19th Century|George III|Circa 1809-11 CE - 1811-03 CE","Neoclassical",NA,"https://data.fitzmuseum.cam.ac.uk/id/object/131030"
"123",NA,"Potter: Unknown","Accession number: OC.114-1938|Primary reference Number: 77526|Stable URI","Earthenware","Bottle|Islamic pottery","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, painted in brown on the exterior","Late 19th Century|Circa 1875 CE - Circa 1899 CE",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77526"
"124",NA,"Potter: Unknown","Accession number: OC.113-1938|Primary reference Number: 77525|Stable URI","Earthenware","Bottle|Islamic pottery|Asyut ware|vase","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished, with stamped and carved decoration. In the neck, a coloured, burnished slip and a carved filter","Second half of 19th Century|Circa 1850 CE - Circa 1899 CE",NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77525"
"125",NA,"Pottery: Unknown","Accession number: OC.112-1938|Primary reference Number: 77523|Stable URI","Earthenware","Jug|Islamic pottery",NA,"Earthenware, wheel thrown and undecorated",NA,NA,"Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77523"
"126",NA,"Potter: Unknown","Accession number: OC.111-1938|Primary reference Number: 77520|Stable URI","Earthenware","Vase|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished, stamped and painted in brown and red","Early 17th Century|Circa 1600 CE - Circa 1725 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77520"
"127",NA,"Potter: Unknown","Accession number: OC.110-1938|Primary reference Number: 77518|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished with stamped and incised decoration, a carved filter in the neck","Late 17th Century|Circa 1675 CE - Circa 1699 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77518"
"128",NA,"Potter: Unknown","Accession number: OC.109-1938|Primary reference Number: 77515|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, painted in brown, red and green and burnished in places","Early 17th Century|Circa 1600 CE - Circa 1625 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77515"
"129",NA,"Potter: Unknown","Accession number: OC.108-1938|Primary reference Number: 77513|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished and stamped decoration highlighted with green, The remnants of a carved filter in the neck","Late 17th Century|Circa 1675 CE - Circa 1699 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77513"
"130",NA,"Potter: Unknown","Accession number: OC.107-1938|Primary reference Number: 77511|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished, stamped and painted in black, brown with a light wash of turquoise green on the body. A carved filter in the neck","Early 17th Century|Circa 1700 CE - Circa 1725 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77511"
"131","vase","Maker: Unknown","Accession number: OC.6-1937|Primary reference Number: 77773|Stable URI","Stoneware","Vase","Method of acquisition: Bequeathed (1937-11-04) by Gervase Beckett, Sir","Buff stoneware vase, with incised floral designs painted in dark brown. The ground has been cut away and filled in with white. Tz’u chou ware.","Song Dynasty|960 CE - 1280 CE",NA,"Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77773"
"132",NA,"Potter: Unknown","Accession number: OC.106-1938|Primary reference Number: 77509|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, stamped, burnished and painted in brown and red. A carved filter in the neck.","Early 17th Century|Circa 1600 CE - Circa 1625 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77509"
"133",NA,"Potter: Unknown","Accession number: OC.105 & A-1938|Primary reference Number: 77506|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished with carved, stamped and incised decoration. Water filter in the neck is carved and the lid moulded with stamped decoration","Late 17th Century|Circa 1675 - Circa 1699","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77506"
"134",NA,"Potter: Unknown","Accession number: OC.104-1938|Primary reference Number: 77504|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished with stamped and incised decoration with a carved filter in the neck","Late 17th Century|Circa 1675 CE - Circa 1699 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77504"
"135",NA,"Potter: Unknown","Accession number: OC.103-1938|Primary reference Number: 77502|Stable URI","Earthenware","Jug|Islamic pottery|Terra Lemnia","Method of acquisition: Given (1938-10-06) by Harris, Sir Austin","Earthenware, wheel thrown, burnished, with applied decoration, incised and painted in red, brown and gold. The foot and filter in the neck are carved","Mid 17th century|Circa 1625 CE - Circa 1675 CE","Ottoman","Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77502"
"136",NA,"Production: Unidentified Manises pottery","Accession number: MAR.C.69-1912|Primary reference Number: 77389|Stable URI","Tin-glazed earthenware|Spanish lustreware","Dish","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Tin-glazed earthenware dish, painted in blue and copper lustre with birds and foliage Earthenware with creamy-white tin-glaze, painted in blue and reduced-pigment copper-lustre. Circular with a slightly everted rim, deep sloping rim, and curved well with a convex boss in the centre. The front is painted with three blue sprays of leaves. Between them, all painted in lustre, there are three birds pecking fruit, amongst small striped leaves on meandering stems which completely fill the background. The boss is lustred overall. The edge is encircled by a broad band of lustre. On the reverse, the lustre appears more red, and comprises numerous oval and incomplete oval outlines scattered over the surface. Two suspension holes were bored through the rim before firing.","17th Century|Circa 1600 CE - 1699 CE",NA,"Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77389"
"137","Aaron arrayed in the High Priest's Garments accompanied by Moses and three other Israelites","Workshop: Fontana Workshop (Probably)|Woodcutter: Salomon, Bernard (After)","Accession number: MAR.C.59-1912|Primary reference Number: 77383|Stable URI","Tin-glazed earthenware|Maiolica","Bowl","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Maiolica shallow bowl, painted in polychrome, with Aaron arrayed in the High Priest's Garments accompanied by Moses and three other Israelites. Pale buff earthenware, tin-glazed overall; the reverse pale beige and faintly tinged with green. Painted in blue, green, yellow, orange, stone, brown, manganese-purple, black, and white. Shape 81. Shallow circular bowl with sixteen scallops round the rim and sides moulded with a radiating petal and lozenge pattern, originally standing on a low foot, now missing.
Aaron arrayed in the High Priest's Garments accompanied by Moses and three other Israelites. In the foreground there are rocks, grass and a stony path; further back on the left, a tent; and in the landscape background, two tents, trees and hills. The edge is yellow. On the back, 'Aron gran sacerdote/e Moise' (Aaron high priest and Moses) inscribed in the middle in dark blue, and two yellow bands round the rim.","Third quarter of 16th century|Renaissance|Circa 1555 CE - 1575 CE","Renaissance","Tin-glaze|Earthenware","https://data.fitzmuseum.cam.ac.uk/id/object/77383"
"138",NA,"Maker: Unidentified Westerwald pottery","Accession number: MAR.C.55-1912|Primary reference Number: 77381|Stable URI","Stoneware|Salt-glazed stoneware|German stoneware","Jug","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Salt-glazed stoneware jug decorated in cobalt-blue, with blue strokes on the neck, stylized flowers and a striped medallion below the lip, and on either side, a stem and spots Grey stoneware, thrown, with applied handle, incised decoration coloured in cobalt-blue, and salt-glaze. The jug has an ovoid body contracting into a short cylindrical neck with a slight lip. There is a horizontal cordon at the level of the upper junction of the handle, which has a longitudinal ridge, and a hole on top for the attachment of a mount. On the front is an incised stylized floral spray curving around a striped medallion with a petal edging (perhaps a flowerhead), on either side of which is a stem and two spots. The lower junction of the handle is surrounded by a blue line with curved strokes projecting on each side, and a curl at the bottom. The neck has two horizontal blue bands above and below the cordon, and below that, a row of ten incised ovals filled in with blue. A short distance above the edge of the base there is a blue horizontal band. The underside of the base is inscribed faintly in a black substance '1697/A.n. D'","Late 17th-early 18th Century|Circa 1675 CE - Circa 1725 CE",NA,"Stoneware","https://data.fitzmuseum.cam.ac.uk/id/object/77381"
"139",NA,"Production: Unidentified Cologne pottery|Production: Unidentified Frechen pottery","Accession number: MAR.C.53-1912|Primary reference Number: 77379|Stable URI","Stoneware|Salt-glazed stoneware|German stoneware","Jug","Method of acquisition: Bequeathed (1912) by Marlay, Charles Brinsley","Stoneware, thrown, with thumbed base, turned neck, applied moulded relief decoration, partial light brown wash, and salt-glaze; silver-gilt mount and cover The jug has an ovoid body with a spreading base, which is concave underneath and thumbed round the edge. It has a slender, turned neck and a small strap handle. Around the shoulder is a row of eighteen petalled flowerheads in relief. Attached to the handle is a silver-gilt mount for the hinged thumbpiece and domed cover. The mount on the handle is engraved with a winged cherub's head and scrolls. The thumbpiece has a cast finial in the shape of two entwined twigs with an acorn on each. The cover is embossed and chased with three arrangements of fruit and foliage, and has a cast vase-shaped finial surmounted by a stepped pinnacle.","Second half of 16th century|1550 CE - 1559 CE",NA,NA,"https://data.fitzmuseum.cam.ac.uk/id/object/77379"
