,Title,Maker,Identification_Numbers,Categories,Entities,Acquisition_and_Important_Dates,Description,Dating,School_or_Style,Materials_Used_in_Production,Website
200,NA,NA,Accession number: C.2614B-1928|Primary reference Number: 86589|Stable URI,Tin-glazed earthenware,Plate,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/86589
201,NA,Factory: Unidentified Delft factory,Accession number: C.2524B-1928|Primary reference Number: 86588|Old object number: 179|Stable URI,Tin-glazed earthenware,Flower vase,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Flower vase in the form of a Chinese sage or deity with three spouts for flowers on his head and shoulders, of tin-glazed earthenware painted in blue Tin-glazed earthenware painted in blue. The figure is supported on a low rectangular base with two arches cut away at the front and back, and one at each end to produce six low feet. The sage or deity stands with his feet together flanked by low branches.eity has a curly moustache, and a beard. He wears a long gown decorated with flowers, a vertical panel of scrolls, and border patterns. His right arm is bent across his chest, and with his left hand he holds his robe across his body. Three flower spouts decorated with scattered flowers spring from his head and shoulders. The base is decorated with stylized flower heads reserved in a blue ground.",Late 17th or early 18th century|Production date: circa AD 1700,Baroque,Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/86588
202,NA,NA,Accession number: C.306 & A-1928|Primary reference Number: 74351|Stable URI,Lead-glazed earthenware,Honey pot,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/74351
203,NA,Pottery: Lambeth High Street Pottery|Proprietor of pottery: Brayne,Accession number: C.1678 & A-1928|Primary reference Number: 72434|Old object number: 3060|Stable URI,Tin-glazed earthenware,Tea bowl and saucer|tea cup and saucer,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue, green, yellow, red, and manganese-purple Buff earthenware tin-glazed greyish-white and painted in blue, green, yellow, red, and manganese-purple. The tea bowl has deep curved sides and stands on a low footring. The circular saucer has shallow curved sides. Both pieces are decorated with a floral and geometric pattern related to the 'Ann Gomm' pattern.",Late 18th century|George III|Circa 1790 CE - 1793 CE,NA,"blue, green, yellow, red, and manganese-purple High-temperature colours|buff Earthenware|greyish-white Tin-glaze",https://data.fitzmuseum.cam.ac.uk/id/object/72434
204,NA,Potter: Unknown,Accession number: C.22-1934|Primary reference Number: 73249|Stable URI,Fritware (stonepaste),Bowl|Islamic pottery|Underglaze painted ware,Method of acquisition: Given by The Friends of the Fitzwilliam Museum,"Fritware painted in black under a turquoise glaze Fritware, wheel thrown, painted in black under a crazed, turquoise glaze
Shape: bi-conical bowl on a narrow, high foot ring
Interior: on the rim a concentric band, on the body a band of cursive script is painted on a dotted, crossed background. In the roundel a filler pattern is visible but the remainder obscured by sherds, which have fallen in the bowl from another vessel, during firing.
Exterior: at a mid point on the body a thin black line is painted. Glaze runs over the surface, pooling at the carination, the remainder is coated with a thinner glaze.",First half of 13th century|Circa 1200 CE - Circa 1250 CE,Ayyubid,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/73249
205,NA,Potter: Unknown,Accession number: OC.147-1946|Primary reference Number: 77576|Oscar Raphael: 33|Stable URI,Fritware (stonepaste),Bowl|Islamic pottery|Underglaze painted ware,"Method of acquisition: Bequeathed (1946) by Raphael, Oscar C.","Fritware, wheel thrown, painted in blue under a turquoise glaze Fritware painted in blue under a turquoise crackled glaze
Shape: bi-conical bowl with an everted, ‘hammer head’ rim descends via a carination onto a narrow foot ring
Interior: the rim is dashed with lines and crescents. On the body, delineated by a pair of horizontal lines, two birds, both with heads turned at an angle to their bodies strut either side of a tree with feathery leaves. Three scar marks on the interior indicate the use of a tripod stacking device in the kiln. Glaze has run on the neck, forming droplets at one point indicating that the vessel was fired upside down.
Exterior: pairs of vertical lines run from the rim onto the lower body. Glaze terminates on the lower body.",14th - early 15th Century|Circa 1300 CE - Circa 1425 CE,Timurid,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/77576
206,Calliope,NA,Accession number: C.975-1928|Primary reference Number: 76482|Old objecgt number: 2601|Stable URI,Lead-glazed earthenware,Figure,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr",Lead-glazed earthenware figure of Calliope painted in enamels,NA,Neoclassical,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76482
207,NA,Pottery: Brislington Pottery,Accession number: C.1652 & A-1928|Primary reference Number: 72393|Old object number: 4861|Stable URI,Tin-glazed earthenware|English delftware,Posset pot|Cover,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Buff earthenware tin-glazed white and painted in blue and turqoise-green.The pot has a bulbous body with a short cylindrical neck and is supported on three bird-shaped feet. It has a curved sucking spout in the middle of one side, and two handles formed by twojoined rolls of clay with twisting upper and lower terminals, and on their backs, a wavy serpent. The domed cover is in the form of a crown surmounted by a Maltese cross. The body and lid are painted with stylized plants, leaves and flowers with dotted circles in the background. The underside of the lid is inscribed ‘EK/1699’.",Late 17th Century|William III (1750-1702)|Production date: dated AD 1699,NA,buff Earthenware|Tin-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/72393
208,NA,Potter: Unknown,Accession number: C.546-1991|Primary reference Number: 75484|Packing number: ISCER 971|Stable URI,Fritware (stonepaste),Bowl|Islamic pottery|Blue and white ware,"Method of acquisition: Bequeathed (1950) by Reitlinger, Henry Scipio","Fritware coated in a white slip, painted in blue under a colourless glaze Fritware, probably wheel thrown, coated in a white slip and painted in blue under a colourless glaze
Shape: hemispherical bowl with slightly everted rim, sits on a low foot ring
Interior: on the upper body a frieze of scrolling leaves. In the roundel, a complex floral spray which centres on a rosette and long vertical stalks flanked by leaves and flower heads including those with spiked leaves.
Exterior: on the upper body a frieze of scrolling leaves and flowers, while on the lower body stylised lotus heads are painted within bracketed arcading. Glaze runs unevenly over the lower body.",15th century|Circa 1400 CE - Circa 1499 CE,Timurid,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/75484
209,NA,Production: Longquan Kilns,Accession number: ML.17-1992|Primary reference Number: 138723|Stable URI,Pottery,Saucer,"Method of acquisition: Loan (1992) by Whittow, Helen H. L. (nee Malcolm)","Straight-sided deep saucer, decorated with a good heavy Kinuta bluish-celadon glaze.",Song Dynasty|960 - 1279,NA,Kinuta Celadon glaze|Pottery,https://data.fitzmuseum.cam.ac.uk/id/object/138723
210,NA,Maker: Unidentified Florence pottery (District of),Accession number: C.77-1961|Primary reference Number: 48175|Stable URI,Tin-glazed earthenware,Two-handled jar|Maiolica|pharmacy jar|storage jar,"Method of acquisition: Bequeathed (1961-04-27) by Clarke, Louis Colville Gray","Maiolica pharmacy or storage jar, painted in relief-blue, on both sides with two lions rampant addorsed and 'oak leaves'. Buff earthenware, tin-glazed creamy-white on the interior and exterior; the rim and base unglazed. Painted in bright, extremely shiny relief-blue with manganese outlines.
Ovoid with flat base, short cylindrical neck and two strap handles.
Both sides are decorated with two lions rampant addorsed, each holding a spray of oak leaves in its raised paw, surrounded by sprays of oak leaves with dots in the background. Round the lower part of the body there are two horizontal manganese bands. On the neck, between pairs of horizontal manganese bands, there are oak leaves on a wavy stem. On each handle, and continuing down the side of the jar beneath it, is a fern frond or stalk with twigs branching off on each side and terminating in small round berries.",15th century|Renaissance|Circa 1420 CE - 1450 CE,Renaissance,except rim and base Tin-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/48175
211,NA,Potter: Unknown,Accession number: C.566-1991|Primary reference Number: 17556|Packing number: ISCER 559|Stable URI,Glazed earthenware,Tile|Islamic pottery|Cuerda seca|pentagonal tile,"Method of acquisition: Bequeathed (1950) by Reitlinger, Henry Scipio","Calcareous earthenware, with designs outlined in black slip and coloured with white, blue and turquoise pitted glaze and red brown slip, with small areas of gilding|Shape: pentagonal tile with slightly bevelled edges|Upper side: colours are separated by a thin black line of slip. A turquoise border frames a white palmette overlying a central gilded, polychrome rosette and pendant turquoise buds, all reserved in blue.|Under side: undecorated but with patches of plaster",Late 14th Century - mid 15th century|Circa 1375 CE - 1450 CE,Timurid,buff-coloured Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/17556
212,Wash basin in the form of a scallop shell,Pottery: unidentified London pottery (Probably)|Pottery: Brislington Pottery (Possibly),Accession number: C.1338-1928|Primary reference Number: 71832|Old object number: 700|Stable URI,Tin-glazed earthenware|English delftware,Wash basin|basin,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, press-moulded, tin-glazed and painted in blue and manganese-purple; inscribed 'D/D:E/1683' Buff earthenware, press-moulded in the form of a scallop shell, with a pierced hole in the centre of the lower end, tin-glazed overall, and painted in blue and manganese-purple. In the middle are the initials and date 'D/D:E/1683' with three small lozenges below within a scrolled cartouche outlined in mananese-purple. The ridges and edges of the shell are outlined in blue, and there are blue spots on its rounded lower part. The flanges of the shell are decorated by a mermaid, a cross between a merman and a hippocamp, two shells (?) and a sea hound, and along the lower edge there is a row of four groups of scrolls separated by small circles. Around the curved edge of the shell there is a scalloped line.",Late 17th Century|Charles I|Production date: dated AD 1683 : dated,Baroque,buff Earthenware|Tin-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/71832
213,NA,Pottery: Unknown,Accession number: C.8-1935|Primary reference Number: 76161|BJ.181|Stable URI,Stoneware,Tea caddy|Japanese pottery|tea jar,"Method of acquisition: Given (1935-05-01) by Brangwyn, Frank","Roughly potted, light grey stoneware tea jar. Very thinly coiled and thrown, globular form with turned-over rim and four lugs. Dipped in black glaze, then natural ash deposits give a dark olive. The body appears to have slumped during the firing.",Late 17th Century|Edo Period (1615-1868)|Circa 1675 CE - Circa 1699 CE,NA,Stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/76161
214,NA,NA,Accession number: C.1938 & A-1928|Primary reference Number: 76536|Old object number: 1825|Stable URI,Lead-glazed earthenware,Porringer,NA,NA,NA,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76536
215,NA,Pottery: Unknown (Probably),Accession number: C.450 & A-1984|Primary reference Number: 16104|Stable URI,Stoneware|Celadon,Bowl|Stand,"Method of acquisition: Given (1984) by Gompertz, G. St. G. M., Mr and Mrs","Bowl and stand with flowers. Stoneware, thrown, shaped, luted, incised and celadon-glazed. The wide bowl is of five-petalled flower shape with a low footring. The stand has a tray of matching five-petalled shape, a plain support for the bowl and a spreading foot and is open in the centre. Both bowl and stand are carved with overlapping petals and the bowl has a raised centre to represent the stamens. The petals of the bowl are outlined both inside and out with incised borders of foliage scrolls (tangch'o) and on the inside each petal is further incised with a single flower spray. The glaze is of clear pale bluish-green jade colour, evenly applied and with a subtle gloss, the glaze of the stand being slightly darker than that of the bowl, and both pieces have a fine crackle. The bowl has three quartzite spur-marks on the base, the stand shows traces of six fire-clay spurs on the footring.",12th Century|Koryo Dynasty|Circa 1100 CE - 1150 CE,NA,Stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/16104
216,NA,Factory: Unidentified Staffordshire factory,Accession number: C.450 & A & B-1928|Primary reference Number: 75139|Old object number: 705|Stable URI,Stoneware|Dry-bodied stoneware,Chocolate pot,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Red dry-bodied stoneware. Pear shaped body with projecting lip, and reeded loop handle, the domed lid having a smaller second lid fitting into an opening in the top. On the base, an imitation Chinese seal mark",Third quarter of 18th century|George III|Production date: circa AD 1760,NA,Red dry-bodied stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/75139
217,NA,Production: unidentified London pottery,Accession number: C.1205-1928|Primary reference Number: 71553|Old object number: 3121|Stable URI,Stoneware|Brown salt-glazed stoneware,Pickle jar|jar,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Stoneware with dark brown dip at the top and bottom, decorated with applied reliefs and salt-glazed Greyish buff stoneware, thrown, decorated with applied moulded reliefs, coated with freckled dark brown dip on the upper and lower part of the sides, and salt-glazed. The jar is cylindrical with curved shoulders, a short incurved neck and rolled mouth. Round the middle are incised the names and date 'George Bennison & Sarah Nov 28 1752', Above and below this, there is a band of adjacent inn-signs. Above: The Four Swans, The Grenadier, The Crown, The King's Head (with initials GR), the Duke of Marlborough (DM), The Peal of Bells (eight bells and bell ringers), The Sun, The Jolly Sailor, The Star, The Hart, and The Noah's Ark. Below: The Bull, The Griffin, The Bell, The Swan, The Rose (with the name Wm Hasmere?), The Castle (? part missing), The Angel, The Spread Eagle, another missing, and The Angler (?)",Mid 18th Century|George II|Production date: dated AD 1752,NA,Stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/71553
218,Ground for a tea set,"Potter: Stair, Julian",Accession number: C.22.4-2002|Primary reference Number: 82295|Entry form number: 178|Stable URI,Stoneware|Studio Ceramics,Ground,"Method of acquisition: Given (2002) by Goodison, Nicholas and Judith","Grey, slab-built grey stoneware with a smooth surface on the underside, and slightly rough surface on the exterior Rectangular with almost straight sides, and a rectangular area cut away in the middle of the lower edge of each side to form four corner feet. In a set with a teapot and cover (C.22.1 & A-2001) and two cups (C.22.2 & 3-2002).",Early 21st Century|Production date: AD 2002,NA,Stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/82295
219,The Battle for the Breeches,Production: Unidentified Staffordshire Potter,Accession number: C.183-1928|Primary reference Number: 72728|Stable URI,Lead-glazed earthenware,Plate,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr",NA,Late 17th Century|Circa 1660 CE - 1700 CE,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/72728
220,NA,Potter: Unknown (Probably),Accession number: C.514-1991|Primary reference Number: 75359|Packing number: ISCER 651|Stable URI,Fritware (stonepaste),Bowl fragment|Islamic pottery|Underglaze painted ware|fragment of a bowl centre,"Method of acquisition: Bequeathed (1950) by Reitlinger, Henry Scipio","Fritware painted in black under a turquoise glaze Fritware, probably wheel thrown, painted in black under a turquoise glaze
Shape: irregular fragment on a foot ring
Interior: on the base, enclosed within black concentric lines, an arabesque incorporating whole and split palmette leaves is painted in reserve against a black background
Exterior: undecorated except for the glaze with covers the surface unevenly particularly on the foot ring. The underside of the base has a spot of turquoise glaze.",12th-13th Century|Circa 1100 CE - 1299 CE,Ayyubid,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/75359
221,NA,Pottery: unidentified London pottery (Possibly)|Pottery: Unidentified Bristol pottery (Possibly),Accession number: C.1590-1928|Primary reference Number: 72271|Old object number: 4883|Stable URI,Tin-glazed earthenware|English delftware,Tea caddy|English delftware|tea canister,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue with a Chinese figure and floral sprays Buff earthenware, probably slab built, tin-glazed bluish-white on the visible surfaces, and painted in blue. Octagonal with slightly rounded corners and a flat top with a central cylindrical neck to take a cover, now missing. Two sides are decorated with Chinese standing figures holding the stem of a floral spray which continues over the flat top. The ends and corners have vertical floral sprays. The unglazed base is inscribed in blue 'august 15/AA/1767'.",Third quarter of 18th century|George II|Production date: dated AD 1767,Chinoiserie,buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72271
222,Dinner Plate,"Factory: Spode|Engraver: Kirk, Thomas (After)",Accession number: C.8G-1977|Primary reference Number: 76318|Stable URI,Lead-glazed earthenware|Transfer-printed ware|Dinnerware,Dinner plate,"Method of acquisition: Given (1977-04-21) by Weatherhead, H. D., Mrs","White earthenware, transfer-printed underglaze in blue with Greek pattern White earthenware, moulded in New Indented shape, transfer-printed underglaze in blue. The plate has eight, slight indentations on the edge, a narrow concave rim, shallow sides and a flat centre. Decorated with a central medallion, enclosing Zeus holding a thunderbolt, riding a chariot pulled by four horses, reserved in a blue ground and borderd by a circle of four-petalled flowers, between two scalloped lines. The rim is decorated with four urns between four shaped reserves, each featuring classical scenes. The spaces between the urns and reserves are decorated with fruit and flowers, all reserved in a blue ground.",Early 19th Century|Circa 1806 CE - 1833 CE,Greek Revival,probably lead-glaze Glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76318
223,Cuvette ou pot à fleurs,Factory: Vincennes Porcelain Manufactory,Accession number: C.4B-1955|Primary reference Number: 82572|Stable URI,Soft-paste porcelain,Vase|cuvette à fleurs|pot à fleurs,"Method of acquisition: Bought (1955-05-26) by Gould, Cecil","Soft-paste porcelain, moulded, painted in polychrome enamels, with bouquets of flowers, and gilded Soft-paste porcelain, moulded, and decorated with painting in blue, pale green, greyish-green, yellow, brownish-orange, dark pink, and mauve enamels, and gilding. The glaze is slightly speckled inside and outside. The vase stands on a D-shaped solid base. The back of the bowl is almost flat with a depression on either side of the centre. The front is curved, and divided into two lobes, separated by stylised foliage in relief which curve below each lobe and rise to form small handles at each end. The wavy upper edge is divided and folded back at each end. Each of the lobes is painted with a bouquet of flowers. The relief foliage is touched with blue and gold; the upper edge is feathered in blue, and there are gold bands round the upper edge, and round the edge of the base.

As a pair with C.4A-1955.",Mid-18th Century|Louis XV|Circa 1751 CE - 1752 CE,Rococo,presumed lead-glaze; except for the base Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82572
224,Cuvette ou pot à fleurs,Factory: Vincennes Porcelain Manufactory,Accession number: C.4A-1955|Primary reference Number: 82570|Stable URI,Soft-paste porcelain,Vase|cuvette à fleurs|pot à fleurs,"Method of acquisition: Bought (1955-05-26) by Gould, Cecil","Soft-paste porcelain painted in polychrome enamels with bouquets of flowers and gilded Soft-paste porcelain, moulded, and decorated with painting in blue, pale green, greyish-green, yellow, brownish-orange, dark pink, and mauve enamels, and gilding. The glaze is slightly speckled inside and outside. The vase stands on a D-shaped solid base. The back of the bowl is almost flat with a depression on either side of the centre. The front is curved, and divided into two lobes, separated by stylised palms in relief which curve below each lobe and rise to form small handles at each end. The wavy upper edge is divided and folded back at each end. Each of the lobes is painted with a bouquet of flowers. The relief leaves are touched with blue and gold; the upper edge is feathered in blue, and there are gold bands round the upper edge, and round the edge of the base.
A pair with C.4B-1955.",Mid-18th Century|Louis XV|Circa 1751 CE - 1752 CE,Rococo,except underside of base; presumed lead-glaze Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82570
225,Pot-pourri Pompadour,"Factory: Vincennes Porcelain Manufactory|Designer: Duplessis, Jean-Claude Chambellan, père",Accession number: C.13.1 & A-1947|Primary reference Number: 82541|Stable URI,Soft-paste porcelain,Pot-pourri vase|Cover|Factory name: pot-pourri Pompadour,Method of acquisition: Given (1947) by The Friends of the Fitzwilliam Museum,"Soft-paste porcelain pot-pourri vase and cover, painted in blue enamel with sprays of flowers, and gilded. Soft-paste porcelain, thrown, pierced, lead-glazed, and painted in blue enamel, and gilded. The urn-shaped vase stands on a circular pedestal foot with a moulding round the foot. The ogee-domed cover is surmounted by a finial in the shape of a large and a small carnation on a stem. The shoulder of the vase, and the cover, are each pierced with six oval apertures surrounded by stylised foliage in low relief. The shoulder of the vase is at a slightly lower level that the rest of the body and is divided from it by a gold band with curves below the apertures. The white ground is decorated with sprays of flowers in bleu camaïeu, and the carnation finial is touched with blue. There are two bands of gilding round the foot and serrated bands round the junction of the foot and body and round the lip and on the edge of the cover. The moulding round the apertures and the stem of the finial are gilded.
A pair with C.13.2 & A-1947.",Mid-18th Century|Louis XV|1753 CE - 1754 CE,Rococo,Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82541
226,Pot-pourri Pompadour,Factory: Vincennes Porcelain Manufactory,Accession number: C.13.2 & A-1947|Primary reference Number: 82542|Stable URI,Soft-paste porcelain,Pot-pourri vase|Cover|Factory name: pot-pourri Pompadour,Method of acquisition: Given (1947-10) by The Friends of the Fitzwilliam Museum,"Soft-paste porcelain with pierced shoulders and cover, painted in blue enamel with sprays of flowers, and gilded Soft-paste porcelain painted in blue enamel and gilding. The vase stands on a circular pedestal foot. The ovoid body contracts above the widest point to the circular mouth thus forming a shoulder. The domed cover is surmounted by a finial in the shape of a large and a small carnation on a stem. The shoulder of the vase, and the cover, are each pierced with six oval apertures surrounded by stylised foliage in low relief. The shoulder of the vase is at a slightly lower level that the rest of the body and is divided from it by a gold band with curves below the apertures. The white ground is decorated with sprays of flowers in blue enamel, and the carnation finial is touched with blue. There are two bands of gilding round the foot and serrated bands round the junction of the foot and body and round the lip and on the edge of the cover. The moulding round the apertures and the stem of the finial are gilded.
A pair with C.13.1 & A-1947.",Mid-18th Century|Circa 1753 CE - 1754 CE,Rococo,presumed lead-glaze Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82542
227,Pot à lait et son couvercle|Translated as: milk jug and cover,Factory: Mennecy Porcelain Manufactory,Accession number: C.3201 & A-1928|Primary reference Number: 82338|Old object number: 4436|Stable URI,Soft-paste porcelain,Jug|Cover|Teaware,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Soft-paste porcelain milk jug and cover, lead-glazed and painted in enamels with a bouquet and sprays of flowers and foliage. Highly translucent soft-paste porcelain, lead-glazed, and painted in blue, two shades of green, yellow dark pink, red, and black enamels. Pear-shaped with a projecting lip, turned foot, and loop handle, the slightly domed cover with an applied rose bud knob and two leaves on a stalk. A hole is pierced near the edge on the handle side. The body is decorated on one side with a large bouquet of roses and other flowers, on the other with a smaller bouquet, and under the lip with a smaller spray of flowers. The lip is outlined in blue and has a stylized flowerhead in the the middle. The top and bottom of the handle have dull pink strokes and dots forming highly stylized foliage, and there is a pink line on the rim. The cover has a blue trefoil on the projection, a floral spray on each side of the rose knob, and a pink line on the edge.",Mid 18th Century|Louis XV|Circa 1750 CE - 1760 CE,Rococo,highly translucent Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82338
228,NA,Factory: S. Moore & Co|Wear Pottery (Alternative name)|Moore's Pottery (Alternative name),Accession number: C.54-1997|Primary reference Number: 82243|Stable URI,Earthenware|Lead-glazed earthenware|Transfer-printed ware|Transfer-printed lustreware,Jug|Commemorative jug|Beer jug|Sunderland ware,"Method of acquisition: Given (1997-07-14) by Rylands, G.H.W.","White earthenware, transfer-printed in black with text and images, and painted with pink, green, yellow and blue enamels. Ovoid body tapering slightly to a projecting foot, with cylindrical neck, curved spout and loop handle. Decorated on the body with three transfer-prints over-painted with enamels and five unpainted floral transfers on the neck and spout and another four on the inside neck and spout. The rim, foot and handle are lined with green.and there are zig-zags of pink and green on the body and neck and in a continuous band around the shoulder. The underside is flat and glazed, with a raised foot-rim. The images and text are as follows:
(i) On one side: The Wear Bridge, with several ships in full sail below, Neptune to the right and ?Britannia to the left. Above, a banner insctibed ‘SUNDERLAND COAL TRADE’. Below, inscription reads ‘A EAST VIEW of the IRON BRIDGE over the RIVER WEAR near SUND,, / Span 236 ft Height 100 ft.’
(ii) On the other side : A shield quartered in red, green, yellow and red with agricultural symbols; a sheaf of wheat above; a woman and a man holding farm implements to either side; and a garland of flowers around. Below: a banner inscribed ‘GOD SPEED THE PLOUGH’ above the text ‘AGRICULTURE, the most useful and importantand important/ of all pursuits, teaches the nature of soils and/ their proper adaptation and management for / the production of food for man and beast.
(iii) Under the spout: A detailed representation of a mariners’ compass, with inscription at centre ‘WEAR POTTERY SOUTHWICK’ in a yellow annulus around a sailing ship.",Early 19th Century|George IV|Production date: circa AD 1820,NA,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/82243
229,NA,Production: Unidentified Staffordshire Potter,Accession number: C.256-1928|Primary reference Number: 73718|Old object no: 4828|Stable URI,Lead-glazed earthenware,Model cradle|cradle,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Lead-glazed red earthenware model cradle, slip trailed. Inscriptions: 'HS' 'John Walker' and 'HS 1708 EC'",Early 18th Century|Queen Anne|Production date: dated AD 1708,NA,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73718
230,"Femal musician reclining on a couch Zuleika, in Byron's 'The Bride of Abydos'",Production: John & Rebecca Lloyd (Perhaps),Accession number: C.880-1984|Primary reference Number: 82238|Stable URI,Lead-glazed earthenware,Figure|Victorian Staffordshire figure|Flat-backed figure,"Method of acquisition: Given (1984) by Cameron, J.E., Mrs","White earthenware moulded in several parts and lead-glazed, with tiny shards of clay as decoration. Painted underglaze in cobalt blue and with black, grey, brown, green, yellow, maroon, pink and flesh-pink enamels, and gilt. A woman in Middle Eastern dress lounges on a couch with her feet up, resting against the arm and playing a stringed instrument. The figure is well coloured. She wears a long green, fur trimmed coat over pink and grey striped harem pants and a mustard yellow dress, trimmed in pink; a pink sash; and a light pink turban. Her bodice and sleeves are edged in thick gilt and the turban bears a gilt crescent at the front. Her shoes are black and pointed; her hair is brown; her features are finely painted. The table base has six legs, above which is a thick gilt line; the front is decorated with gilt leaf motifs; the top is moulded to form a couch, with a raised arm to the right. The couch is a deep blue. The underside, which forms two concave tunnels, has a vent hole and is glazed. The figure is moulded and decorated in the round.",Mid 19th century|Production date: circa AD 1840,Victorian,White earthenware|Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/82238
231,Seated Japanese,Production: Villeroy Porcelain Manufactory (Probably)|Production: Mennecy Porcelain Manufactory (Possibly),Accession number: EC.6-1942|Primary reference Number: 82211|Stable URI,Soft-paste porcelain,Figure,Method of acquisition: Bought (1942-05-10) by Filkins & Co,"Figure of a seated Japanese man holding a gourd over his left shoulder, of soft-paste porcelain painted in red, yellow, green, and black enamels Soft-paste porcelain of cream tone, press-moulded, and hollow underneath, painted overglaze in green, yellow, red, and black enamels. On a pale green mound, a bald-headed man, sits holding a gourd over his left shoulder by means of two tasselled yellow cords. He has black eyes and eybrows, and red lips, and wears a black-edged robe with a red lining to the sleeves, red floral sprays and a phoneix on the back, and black asterisks scattered over the sleeves and his trousers.",Mid 18th Century|Louis XV|Circa 1737 CE - 1748 CE,Kakiemon,Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82211
232,Chinese Lion,Factory: Saint-Cloud Porcelain Manufactory (Uncertain),Accession number: C.3200-1928|Primary reference Number: 82114|Old object number: 5117|Stable URI,Porcelain|Soft-paste porcelain,Animal figure,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Soft-paste porcelain Chinese lion sitting on its hind legs, glazed with a greenish tinge. Soft-paste porcelain, press-moulded and very heavy, with applied decoration. Clear glaze with a greenish tinge, unevenly applied, and with many black speckles on the base. The lion sits on its hind legs with its forepaws resting on a tree stump which is overlaid with applied stems of flowers and foliage. Its head faces the viewer, ears back and tongue protruding. The base is rectangular with cut corners.",First half of 18th Century|Circa 1700 CE - 1750 CE,Oriental style,presumed lead-glaze Lead-glaze|Soft-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/82114
233,NA,"Potter: Lloyd-Jones, David",Accession number: C.15-1977|Primary reference Number: 81887|Stable URI,Stoneware,Bottle|Studio Ceramics|bottle vase,Method of acquisition: Bought (1977) by Henry Rothschild Associates Ltd,"Stoneware; four-sided, the concave-sided neck rising to broad-lipped circular rim. Decorated with spray forms in saturated iron-glaze .",Late 20th Century|Elizabeth II|Production date: circa AD 1977,Studio Ceramics,Stoneware,https://data.fitzmuseum.cam.ac.uk/id/object/81887
